"gene_id","baseMean_FvIAC_HT","baseMean_FvIAC_VF","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FVEG_13182",12.1922617690015,2360.952153185,1186.572207477,-7.56207066556143,0.817942403785071,-9.24523613223566,2.34721860610644e-20,2.4194812912832e-18
"FVEG_15703",3.16713440094161,550.792593176712,276.979863788827,-7.47122081038414,1.97973283042722,-3.77385306519966,0.000160745457831598,0.00132973744828411
"FVEG_17487",67.256543114787,11866.9557489541,5967.10614603445,-7.45542999768795,0.655477315333542,-11.3740473137415,5.63144023974355e-30,1.17415528998653e-27
"FVEG_16303",1.1365331183333,218.685412718511,109.910972918422,-7.40959927071878,0.998500949783896,-7.42072330759668,1.16482433843562e-13,6.17693553803954e-12
"FVEG_11081",189.432436958922,31906.9357934416,16048.1841152003,-7.39502310410009,0.44831507253581,-16.495147179129,3.97589857071241e-61,4.55936168596445e-58
"FVEG_10786",1.57986761278432,271.524151835554,136.552009724169,-7.39203624574118,1.09715548889804,-6.73745546601199,1.61184319399764e-11,6.1103510172456e-10
"FVEG_13609",1.96421717343711,337.203640502085,169.583928837761,-7.31183678110695,0.8135649542422,-8.98740382434197,2.53139104954257e-19,2.34575570590945e-17
"FVEG_10921",7.53952864920602,1221.29858428427,614.419056466737,-7.30672579751083,0.649113580263234,-11.2564673112335,2.15214099491128e-29,4.02933499741145e-27
"FVEG_12315",157.441472068829,24863.7605317469,12510.6010019078,-7.30100612970416,0.575290385399101,-12.6909927838255,6.63394988208392e-37,2.60502722338258e-34
"FVEG_13481",1.13650739269905,202.29562676776,101.71606708023,-7.29876389020584,1.00564864641508,-7.25776732880248,3.9353170608265e-13,1.9203509955331e-11
"FVEG_17758",3.00719344005639,454.508007136732,228.757600288394,-7.29311921939084,0.717040331191443,-10.171142266534,2.66761739241407e-24,3.70798817545555e-22
"FVEG_10706",2.99063539841583,458.491934910511,230.741285154463,-7.23241650464344,0.654479546178481,-11.0506379410536,2.17662603444954e-28,3.91536612549805e-26
"FVEG_08581",5.93460361386091,909.879972806105,457.907288209983,-7.21452651715486,1.04318188017715,-6.91588557493896,4.64949586421318e-12,1.9213727503735e-10
"FVEG_11930",34.1573500494265,5028.69742845295,2531.42738925119,-7.19445907012357,0.446178125183253,-16.124634230261,1.71270078851783e-58,1.57123170338625e-55
"FVEG_11932",319.309579535094,46549.313163005,23434.3113712701,-7.18765928227285,0.433756335063736,-16.570730387642,1.13439491216942e-61,1.48670556060604e-58
"FVEG_03235",2.18943208750824,301.805369353558,151.997400720533,-7.1685985857556,0.984360677125795,-7.28249182676311,3.27709800558918e-13,1.6163493066277e-11
"FVEG_03297",2.27211982574018,314.110266522039,158.19119317389,-7.11391612142548,1.12035618385261,-6.34969148557969,2.15747164139778e-10,7.11965641661269e-09
"FVEG_11083",39.5682964093083,5480.30676432084,2759.93753036507,-7.11017572722371,0.743033219819529,-9.5691222647497,1.07817097487643e-21,1.19170367753209e-19
"FVEG_13304",21.4640438033893,2946.45813095444,1483.96108737892,-7.09517701423347,1.63425847525093,-4.34152682802765,1.41495997400689e-05,0.000163486685157925
"FVEG_11909",20.1681949355682,2731.41737433526,1375.79278463541,-7.06978655530757,0.958147441270225,-7.37859983838717,1.59962816425708e-13,8.19831775357234e-12
"FVEG_12333",1.69040748187343,224.766676588363,113.228542035118,-7.05339413712304,1.29704135585575,-5.43806417989609,5.38625738533922e-08,1.10052394773056e-06
"FVEG_12529",6.33739557745975,804.510525333842,405.423960455651,-7.01605278903309,1.0328832736216,-6.79268700366565,1.1006400444188e-11,4.29671139042472e-10
"FVEG_11030",3.96349933577411,490.199659823684,247.081579579729,-7.00524386275713,0.738211220832482,-9.48948439832343,2.3217981980753e-21,2.53573531775509e-19
"FVEG_12013",21.7859000833425,2754.25626736325,1388.02108372329,-6.97448174389761,1.11935936784707,-6.23077980515946,4.64119073961289e-10,1.44824094711594e-08
"FVEG_13358",35.8842477748699,4525.14765458309,2280.51595117898,-6.96855663480483,0.613568614994462,-11.3574202860225,6.81267389096935e-30,1.38887711723895e-27
"FVEG_11084",75.2173088702625,9290.8897409646,4683.05352491743,-6.94877670271621,0.337664806233845,-20.5789190180037,4.24031971345401e-94,3.89006930512271e-90
"FVEG_13739",82.7894648111415,10007.7882444273,5045.28885461922,-6.9146067370369,0.427976394824022,-16.1565142859809,1.02178270924028e-58,1.04153717495226e-55
"FVEG_14689",9.05270248225787,1075.44394922017,542.248325851216,-6.88119093361378,0.798109148613383,-8.6218670034907,6.58711848563484e-18,5.39555580242983e-16
"FVEG_11624",1.73886113978785,200.662522466455,101.200691803122,-6.86265160192339,1.07005576620971,-6.41335883477541,1.42347926105455e-10,4.85464637208715e-09
"FVEG_12816",19.9563678290506,2326.37317015939,1173.16476899422,-6.85361840427564,1.1292818656464,-6.06900598758188,1.28704348332646e-09,3.7129990302003e-08
"FVEG_10698",1.81841705317458,218.591399693068,110.204908373122,-6.81236709012642,1.20338224607415,-5.66101678194996,1.50478708729893e-08,3.52166243338785e-07
"FVEG_11985",6.83556714276886,771.639305163519,389.237436153144,-6.77691629885664,0.917804251828361,-7.38383624324721,1.537925862038e-13,7.97114794256304e-12
"FVEG_12641",4.28191730357491,450.967743563494,227.624830433534,-6.72027506911459,1.21035490089708,-5.55231780706115,2.81906472263923e-08,6.08519994482171e-07
"FVEG_11984",5.37385230548578,589.290122091751,297.331987198618,-6.71476870818912,0.872834412021394,-7.69306138221386,1.43655550283348e-14,8.67036854144367e-13
"FVEG_12221",3.09061917062711,311.211486427991,157.151052799309,-6.70266543797458,0.944112614514647,-7.09943425702484,1.25268617425479e-12,5.80411260738052e-11
"FVEG_17451",5.82462959908301,625.72842607608,315.776527837582,-6.68083966774094,0.899665935834658,-7.42591155409573,1.12005826879813e-13,6.00901436137662e-12
"FVEG_00147",2.87522634705371,292.881493364409,147.878359855731,-6.67892299200157,0.958540563410264,-6.96780422962959,3.21925763372894e-12,1.37364974566648e-10
"FVEG_10850",8.3201515518522,847.264568331358,427.792359941605,-6.67892176448559,1.95470436024263,-3.41684497171559,0.000633513440332926,0.00418010277127644
"FVEG_12679",8.58325791153127,868.302908924424,438.443083417978,-6.65275197066968,1.91108368756878,-3.48114110017499,0.000499282398175055,0.00341567242420429
"FVEG_13267",5.01002983027937,513.562618499967,259.286324165123,-6.63810048556897,1.19577713209085,-5.55128569314756,2.83576204587232e-08,6.10687347625181e-07
"FVEG_10632",16.9556718185346,1687.17259352138,852.064132669958,-6.6241271034284,1.22806776966905,-5.39394263658064,6.89282313827037e-08,1.37466868414114e-06
"FVEG_17501",4.56787743043914,448.828423338754,226.698150384597,-6.6094279453006,0.562325374687613,-11.753743015727,6.75586146796368e-32,1.58918648992561e-29
"FVEG_11822",1.63740030315037,150.910065281332,76.2737327922413,-6.59602300430954,1.42102469916249,-4.6417370565037,3.45492345291517e-06,4.67484775177637e-05
"FVEG_11933",33.6857206781461,2936.45202816094,1485.06887441954,-6.45143415634435,1.0782733641283,-5.98311557251519,2.18909322017952e-09,6.10417665712064e-08
"FVEG_08011",4.45263208124672,392.376167201451,198.414399641349,-6.39160181047238,0.93486469626637,-6.83692713608604,8.09098663484613e-12,3.21327754926746e-10
"FVEG_16410",2.31017685052041,183.623330804179,92.9667538273496,-6.38682157441227,1.11343121810868,-5.73616175883874,9.68461710762345e-09,2.35667579165352e-07
"FVEG_14593",54.7588266587442,4493.67851037538,2274.21866851706,-6.3609364230754,0.616358459131546,-10.3201900271443,5.71100148028324e-25,8.58897173444565e-23
"FVEG_10046",4.04505445823945,320.546874946166,162.295964702203,-6.34844274673774,1.34359420618724,-4.72497032028212,2.30148967384348e-06,3.29389489357879e-05
"FVEG_10717",12.5050142936513,1007.89948854485,510.202251419253,-6.34137778232624,0.861910614867782,-7.3573496751737,1.87597474823968e-13,9.56121796686155e-12
"FVEG_10697",5.37026060092457,432.467262558623,218.918761579774,-6.27241453858832,0.904308073874524,-6.93614789008137,4.02935789155959e-12,1.69565730720953e-10
"FVEG_16476",3.67801069958564,290.313748186009,146.995879442797,-6.25493196708403,0.713595360498223,-8.76537644908021,1.86153579773719e-18,1.56676416591202e-16
"FVEG_11840",5.37212231562828,406.554827599557,205.963474957593,-6.24164719770883,2.06572043924881,-3.0215352857614,0.00251496326076167,0.0132538794986023
"FVEG_12703",24.3388190810192,1812.70706302981,918.522941055415,-6.20300467337481,0.71514079900371,-8.67382294789565,4.17849836832322e-18,3.45347243522497e-16
"FVEG_17605",2.45533279306109,183.524413283316,92.9898730381886,-6.20279637390916,0.79710562369547,-7.78164924386345,7.15851143905215e-15,4.56056832929614e-13
"FVEG_08797",21.84999047189,1616.35446189956,819.102226185725,-6.19563227120909,0.708594847729849,-8.74354688163239,2.25904080891149e-18,1.88404003463218e-16
"FVEG_06248",169.597052931245,12285.7794089653,6227.68823094828,-6.17770868821012,0.80095265190667,-7.71295116322303,1.2294114219232e-14,7.46928502299568e-13
"FVEG_03557",28.3096495546046,2037.92190796697,1033.11577876079,-6.16831637225541,0.585522068944738,-10.5347290894984,5.97550814964692e-26,9.13655196081014e-24
"FVEG_07169",3.2117742869667,243.772091717625,123.491933002296,-6.16464718058841,1.01758994182616,-6.05808580372303,1.37750916633276e-09,3.95561444520147e-08
"FVEG_09034",4.1525271817606,299.776205168745,151.964366175253,-6.11956673664291,1.10565678246833,-5.53477971977998,3.11619743275338e-08,6.63294553319711e-07
"FVEG_10581",5.55568316985853,390.336112194813,197.945897682336,-6.11346894682477,0.850770661102846,-7.18580132852717,6.68141411855639e-13,3.15955119194001e-11
"FVEG_00011",24.7470296482329,1710.03277438356,867.389902015897,-6.11235691701061,1.0223831000214,-5.9785386875846,2.25148146500158e-09,6.2591184727044e-08
"FVEG_09867",3.96927783828243,270.503543687683,137.236410762983,-6.0900427611618,1.43973976405236,-4.22996079792954,2.3373203971817e-05,0.000254662438524286
"FVEG_16922",2.04574029765643,146.509417610187,74.2775789539217,-6.07047342001701,1.18477948285159,-5.12371585419952,2.99572332885296e-07,5.27500303625663e-06
"FVEG_08859",2.58436622661724,166.831689120972,84.7080276737947,-6.06592734560007,1.08347894728908,-5.59856503052258,2.16133327314686e-08,4.77784854165043e-07
"FVEG_08557",95.1731823405529,6358.40912206167,3226.79115220111,-6.0608935689342,0.688723423651096,-8.80018503916113,1.36590746495974e-18,1.16026250773525e-16
"FVEG_11887",2.56987501440251,169.119010356638,85.8444426855204,-6.04309620324413,1.21941354776873,-4.95573976056091,7.20556067184893e-07,1.16175419338387e-05
"FVEG_13770",2.95481711686086,201.070623261556,102.012720189209,-6.027422782427,1.26135038897455,-4.77854752740605,1.76566030036582e-06,2.59586019159552e-05
"FVEG_04254",1.13577718021706,81.2764500962661,41.2061136382416,-6.02238653211038,1.20416213228192,-5.00130868647879,5.69424548914494e-07,9.32839430668137e-06
"FVEG_11967",3.63625710212009,241.491370808768,122.563813955444,-6.0192138138419,1.58322037321373,-3.80187996294142,0.00014360230127337,0.00120641713542298
"FVEG_14622",5.20813202379199,335.052517209602,170.130324616697,-6.01799416321813,0.798656403624057,-7.53514795087139,4.87781455869064e-14,2.72860187569682e-12
"FVEG_12330",205.819004923881,12885.8379704713,6545.8284876976,-5.96545710341378,0.480569945707725,-12.4132962468732,2.2134872665826e-35,6.34579130738398e-33
"FVEG_10856",45.747978479393,2841.53474727268,1443.64136287604,-5.95917967878335,0.820269120692978,-7.26490797769996,3.73292309042328e-13,1.83132815141942e-11
"FVEG_12533",86.7297891817544,5370.43860050169,2728.58419484172,-5.95340602380026,1.16447146519727,-5.11253920918681,3.17856983771693e-07,5.54376419985079e-06
"FVEG_01057",4.24553382869376,247.061808226203,125.653671027448,-5.89961547199636,0.802836106930501,-7.34846803857948,2.00491392270956e-13,1.01619228325622e-11
"FVEG_09073",67.3156169120623,3977.60639885269,2022.46100788238,-5.88332874752444,0.875569922535925,-6.71942765060325,1.82439740618719e-11,6.80763009061672e-10
"FVEG_08564",6.02439211067246,350.910505570398,178.467448840535,-5.88289399005502,1.06854776573812,-5.50550399213208,3.68113617950158e-08,7.69265223479442e-07
