GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0044743,protein transmembrane import into intrac...,50,10,5.11,0.0273,0.0391
GO:0043938,positive regulation of sporulation,12,4,1.23,0.0274,0.0391
GO:0050667,homocysteine metabolic process,12,4,1.23,0.0274,0.0391
GO:0051037,regulation of transcription involved in ...,12,4,1.23,0.0274,0.0391
GO:0016043,cellular component organization,1514,173,154.83,0.02798,0.0391
GO:0000282,cellular bud site selection,30,7,3.07,0.02827,0.0391
GO:0060284,regulation of cell development,30,7,3.07,0.02827,0.0391
GO:0000715,nucleotide-excision repair, DNA damage r...,3,2,0.31,0.02918,0.0391
GO:0001816,cytokine production,3,2,0.31,0.02918,0.0391
GO:0001817,regulation of cytokine production,3,2,0.31,0.02918,0.0391
GO:0006015,5-phosphoribose 1-diphosphate biosynthet...,3,2,0.31,0.02918,0.0391
GO:0006021,inositol biosynthetic process,3,2,0.31,0.02918,0.0391
GO:0010522,regulation of calcium ion transport into...,3,2,0.31,0.02918,0.0391
GO:0015680,protein maturation by copper ion transfe...,3,2,0.31,0.02918,0.0391
GO:0031115,negative regulation of microtubule polym...,3,2,0.31,0.02918,0.0391
GO:0032206,positive regulation of telomere maintena...,3,2,0.31,0.02918,0.0391
GO:0032212,positive regulation of telomere maintena...,3,2,0.31,0.02918,0.0391
GO:0032516,positive regulation of phosphoprotein ph...,3,2,0.31,0.02918,0.0391
GO:0032868,response to insulin,3,2,0.31,0.02918,0.0391
GO:0032869,cellular response to insulin stimulus,3,2,0.31,0.02918,0.0391
GO:0033499,galactose catabolic process via UDP-gala...,3,2,0.31,0.02918,0.0391
GO:0046391,5-phosphoribose 1-diphosphate metabolic ...,3,2,0.31,0.02918,0.0391
GO:0051085,chaperone cofactor-dependent protein ref...,3,2,0.31,0.02918,0.0391
GO:0051924,regulation of calcium ion transport,3,2,0.31,0.02918,0.0391
GO:0061061,muscle structure development,3,2,0.31,0.02918,0.0391
